"Game","Year","Genre","Publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","log_na_sales","log_eu_sales","log_jp_sales","log_other_sales","log_global_sales"
"Grand Theft Auto V","2014","Action","Rockstar Games",6.06,9.71,0.6,3.02,19.39,1.95444505150515,2.37117788445966,0.470003629245736,1.39128190263093,3.01504458458636
"Call of Duty: Black Ops 3","2015","Shooter","Activision",6.18,6.05,0.41,2.44,15.09,1.97129938306013,1.95302761682418,0.343589704390077,1.23547147138531,2.77819796100429
"Red Dead Redemption 2","2018","Action-Adventure","Rockstar Games",5.26,6.21,0.21,2.26,13.94,1.83418018511201,1.97546895129686,0.19062035960865,1.18172719537862,2.70404217970467
"Call of Duty: WWII","2017","Shooter","Activision",4.67,6.21,0.4,2.12,13.4,1.73518911773966,1.97546895129686,0.336472236621213,1.13783300182139,2.66722820658195
"FIFA 18","2017","Sports","EA Sports",1.27,8.64,0.15,1.73,11.8,0.819779831493311,2.26592110862245,0.139761942375159,1.00430160919687,2.54944517092557
"FIFA 17","2016","Sports","Electronic Arts",1.26,7.95,0.12,1.61,10.94,0.815364813284194,2.19165353228676,0.113328685307003,0.959350221334602,2.47989410796446
"Uncharted (PS4)","2016","Action","Sony Interactive Entertainment",4.49,3.93,0.21,1.7,10.33,1.70292825552144,1.5953389880546,0.19062035960865,0.993251773010283,2.42745407503992
"Spider-Man (PS4)","2018","Action-Adventure","Sony Interactive Entertainment",3.64,3.39,0.32,1.41,8.76,1.53471436623816,1.47932922708708,0.27763173659828,0.879626747502564,2.278292400425
"Call of Duty: Infinite Warfare","2016","Shooter","Activision",3.11,3.83,0.19,1.36,8.48,1.41342302850814,1.57484646766448,0.173953307123438,0.858661619037519,2.24918431626693
"Fallout 4","2015","Role-Playing","Bethesda Softworks",2.91,3.97,0.27,1.34,8.48,1.36353737399727,1.60341984010854,0.2390169004705,0.85015092936961,2.24918431626693
"FIFA 16","2015","Sports","EA Sports",1.15,5.77,0.07,1.23,8.22,0.765467842139571,1.91250108692418,0.0676586484738149,0.802001585472027,2.2213750375685
"Star Wars Battlefront 2015","2015","Shooter","Electronic Arts",3.31,3.19,0.23,1.3,8.03,1.46093790411566,1.43270073393405,0.207014169384326,0.832909122935104,2.20055236742889
"Call of Duty: Advanced Warfare","2014","Shooter","Activision",2.84,3.34,0.14,1.22,7.53,1.34547236659964,1.46787434811231,0.131028262406404,0.797507195884188,2.14358936150359
"Battlefield 1","2016","Shooter","Electronic Arts",2.2,3.65,0.29,1.12,7.26,1.16315080980568,1.53686721959926,0.254642218373581,0.751416088683921,2.11142458753289
"The Last of Us","2014","Action-Adventure","Sony Computer Entertainment",2.7,2.86,0.11,1.1,6.77,1.30833281965018,1.35066718347674,0.104360015324243,0.741937344729377,2.05027016437956
"MineCraft","2014","Misc","Sony Computer Entertainment",1.89,3.13,0.35,0.96,6.33,1.06125650212434,1.41827740697294,0.300104592450338,0.672944473242426,1.99197551589856
"FIFA 15","2014","Sports","EA Sports",0.83,4.49,0.05,0.94,6.32,0.60431596685333,1.70292825552144,0.048790164169432,0.662687973075237,1.99061032797322
"God of War (PS4)","2018","Action","Sony Interactive Entertainment",2.83,2.17,0.13,1.02,6.15,1.34286480319255,1.15373158788919,0.122217632724249,0.703097511413113,1.96711235670592
"Horizon: Zero Dawn","2017","Action","Sony Interactive Entertainment",2.2,2.43,0.28,0.92,5.82,1.16315080980568,1.23256026117785,0.246860077931526,0.65232518603969,1.91985947185537
"Destiny","2014","Shooter","Activision",2.53,2.13,0.16,0.94,5.76,1.26129787094521,1.14103300455206,0.148420005118273,0.662687973075237,1.91102289005487
"Uncharted: The Nathan Drake Collection","2015","Action","Sony Computer Entertainment",2.55,2.11,0.1,0.94,5.7,1.26694760348732,1.13462272619114,0.0953101798043249,0.662687973075237,1.90210752639692
"The Witcher 3: Wild Hunt","2015","Role-Playing","Namco Bandai Games",1.48,2.82,0.28,0.81,5.39,0.908258560176891,1.34025042261848,0.246860077931526,0.593326845277734,1.85473426838944
"Final Fantasy XV","2016","Role-Playing","Square Enix",1.81,1.53,1.05,0.68,5.07,1.03318448334565,0.928219302739429,0.717839793150317,0.518793793415168,1.80335860507141
"Crash Bandicoot N. Sane Trilogy","2017","Platform","Activision",1.09,2.92,0.07,0.74,4.83,0.73716406597672,1.36609165380237,0.0676586484738149,0.553885113226438,1.7630170003624
"Monster Hunter: World","2018","Action","Capcom",1.03,1.06,2.17,0.42,4.67,0.708035793053696,0.72270598280149,1.15373158788919,0.350656871613169,1.73518911773966
